               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 149,            0.038303,            0.014365,           0.0035852,             0.81206,             0.18519,             0.16251,            0.066918,            0.052661,            0.014202,            0.030947,             0.00556,             0.00556,             0.00556
                 150,            0.033586,            0.013901,           0.0030539,             0.83965,             0.22222,             0.19255,            0.079782,            0.052386,            0.014057,            0.031026,             0.00553,             0.00553,             0.00553
                 151,            0.037888,            0.013861,           0.0018303,             0.51432,             0.22018,             0.20212,            0.088846,            0.050881,            0.013865,            0.029368,              0.0055,              0.0055,              0.0055
                 152,            0.041161,             0.01693,           0.0026951,             0.51432,             0.22018,             0.20212,            0.088846,            0.050881,            0.013865,            0.029368,             0.00547,             0.00547,             0.00547
                 153,            0.038205,            0.014806,           0.0025057,             0.50988,             0.22222,             0.21242,            0.097581,            0.049699,            0.013725,             0.02896,             0.00544,             0.00544,             0.00544
                 154,            0.036134,            0.015891,           0.0029231,             0.93067,             0.18519,             0.20272,             0.08929,            0.053467,            0.013904,            0.029173,             0.00541,             0.00541,             0.00541
                 155,            0.040685,            0.016204,           0.0030973,             0.94353,             0.18213,             0.21457,            0.099394,            0.050899,             0.01416,            0.028867,             0.00538,             0.00538,             0.00538
                 156,            0.032209,            0.016263,           0.0026872,             0.94353,             0.18213,             0.21457,            0.099394,            0.050899,             0.01416,            0.028867,             0.00535,             0.00535,             0.00535
                 157,            0.034157,            0.016709,           0.0047587,             0.90494,             0.18519,             0.21634,              0.1065,            0.050449,            0.014222,            0.027518,             0.00532,             0.00532,             0.00532
                 158,            0.032507,            0.015692,           0.0029945,             0.93644,             0.18519,             0.20848,             0.12081,            0.050197,            0.014369,            0.025268,             0.00529,             0.00529,             0.00529
